paper,year,method,method_tier,role,source_raw,source_norm,source_region,sample_id,units,notes,Rb,Sr,Y,Zr,Nb,Ti,Mn,Fe,Zn,Ga,Ba,Pb,Th
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-473,ppm,Kenan Tepe artifacts grouped by assigned source,208.0,0.0,,1245.0,62.0,834.0,557.0,20405.0,174.0,,0.0,25.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-474,ppm,Kenan Tepe artifacts grouped by assigned source,210.0,0.0,,1249.0,63.0,857.0,550.0,20925.0,187.0,,0.0,29.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-478,ppm,Kenan Tepe artifacts grouped by assigned source,210.0,0.0,,1281.0,66.0,866.0,482.0,21689.0,187.0,,0.0,26.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-479,ppm,Kenan Tepe artifacts grouped by assigned source,204.0,0.0,,1256.0,64.0,890.0,539.0,21350.0,175.0,,0.0,28.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-489,ppm,Kenan Tepe artifacts grouped by assigned source,199.0,0.0,,1255.0,63.0,816.0,574.0,20861.0,190.0,,68.0,32.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-492,ppm,Kenan Tepe artifacts grouped by assigned source,207.0,0.0,,1279.0,66.0,992.0,546.0,21367.0,179.0,,0.0,28.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-493,ppm,Kenan Tepe artifacts grouped by assigned source,200.0,0.0,,1249.0,63.0,855.0,553.0,21114.0,190.0,,0.0,28.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-495,ppm,Kenan Tepe artifacts grouped by assigned source,203.0,0.0,,1263.0,65.0,886.0,603.0,20479.0,181.0,,0.0,31.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-497,ppm,Kenan Tepe artifacts grouped by assigned source,202.0,0.0,,1247.0,63.0,895.0,522.0,20794.0,175.0,,0.0,26.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-501,ppm,Kenan Tepe artifacts grouped by assigned source,205.0,0.0,,1252.0,63.0,882.0,557.0,20967.0,183.0,,0.0,29.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-503,ppm,Kenan Tepe artifacts grouped by assigned source,220.0,0.0,,1307.0,65.0,982.0,526.0,22355.0,205.0,,0.0,30.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-505,ppm,Kenan Tepe artifacts grouped by assigned source,204.0,0.0,,1234.0,63.0,841.0,459.0,19891.0,175.0,,0.0,25.0,
Campbell & Healey 2016,2016,pXRF,1,artifact_assigned,Nemrut Dağ,Nemrut Dağ,Eastern Anatolia,kn-506,ppm,Kenan Tepe artifacts grouped by assigned source,198.0,0.0,,1191.0,61.0,842.0,494.0,19713.0,161.0,,0.0,23.0,
