Reference number,Sample note,Source,Al,Si,K,Ca,Ti,Mn,Fe,Zn,Rb,Sr,Y,Zr,Nb,Ba,Pb,source,sample_id,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference
kn-184,mean of 3 readings,Nemrut Dağ,70896.73051948244,383662.3883305229,62024.52973003011,3431.575344477306,1067.8043315976452,554.3690247603164,26822.446596176906,230.93863510741696,249.0910313830432,0.0,111.0,1393.25777999419,59.61844944253394,0.0,34.15252651085336,NemrutDag,kn-184,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-188,,Nemrut Dağ,71498.0,369142.0,38519.0,3048.0,936.0,501.0,22518.0,190.0,218.0,0.0,,1320.0,67.0,0.0,35.0,NemrutDag,kn-188,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-189,,Nemrut Dağ,67544.0,345223.0,33648.0,2889.0,809.0,539.0,19299.0,161.0,193.0,0.0,,1200.0,61.0,0.0,22.0,NemrutDag,kn-189,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-192,mean of 3 readings; Ti anomolously high in first and discarded,Nemrut Dağ,68218.0,348219.0,35688.0,2892.0,856.0,476.0,20091.0,172.0,198.0,0.0,,1223.0,61.0,0.0,26.0,NemrutDag,kn-192,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-194,,Nemrut Dağ,69173.0,352232.0,34568.0,2779.0,815.0,574.0,21784.0,207.0,213.0,0.0,,1315.0,64.0,0.0,29.0,NemrutDag,kn-194,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-195,,Nemrut Dağ,67704.0,352356.0,42826.0,3058.0,1024.0,545.0,20961.0,179.0,214.0,0.0,,1269.0,64.0,0.0,31.0,NemrutDag,kn-195,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-196,,Nemrut Dağ,69599.0,351974.0,38460.0,3678.0,954.0,585.0,23263.0,222.0,220.0,0.0,,1317.0,67.0,0.0,31.0,NemrutDag,kn-196,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-198,,Nemrut Dağ,75152.0,374380.0,47388.0,3924.0,977.0,498.0,23411.0,199.0,226.0,0.0,,1317.0,66.0,0.0,23.0,NemrutDag,kn-198,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-199,,Nemrut Dağ,78153.0,375457.0,37440.0,3256.0,861.0,523.0,21788.0,196.0,223.0,0.0,,1363.0,70.0,0.0,27.0,NemrutDag,kn-199,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-200,,Nemrut Dağ,75475.0,379372.0,37685.0,3058.0,883.0,493.0,21619.0,177.0,209.0,0.0,,1290.0,63.0,0.0,30.0,NemrutDag,kn-200,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-205,,Nemrut Dağ,70037.0,359386.0,36382.0,3462.0,865.0,560.0,21015.0,182.0,206.0,0.0,,1279.0,65.0,104.0,24.0,NemrutDag,kn-205,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-211,,Nemrut Dağ,70284.0,357904.0,35317.0,3495.0,872.0,639.0,20600.0,198.0,207.0,0.0,,1255.0,65.0,114.0,30.0,NemrutDag,kn-211,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-212,,Nemrut Dağ,70084.0,357963.0,37191.0,3626.0,883.0,501.0,21584.0,207.0,212.0,0.0,,1275.0,64.0,0.0,34.0,NemrutDag,kn-212,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-214,,Nemrut Dağ,72519.0,359633.0,36426.0,4824.0,948.0,503.0,22197.0,187.0,215.0,0.0,,1312.0,66.0,0.0,25.0,NemrutDag,kn-214,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-216,,Nemrut Dağ,76141.0,384538.0,41431.0,4131.0,1015.0,487.0,23933.0,222.0,227.0,0.0,,1353.0,68.0,0.0,23.0,NemrutDag,kn-216,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-217,,Nemrut Dağ,69135.0,355661.0,36470.0,3790.0,866.0,511.0,20766.0,185.0,206.0,0.0,,1266.0,64.0,0.0,32.0,NemrutDag,kn-217,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-218,,Nemrut Dağ,72697.0,365480.0,37270.0,3263.0,846.0,595.0,21489.0,184.0,205.0,0.0,,1287.0,67.0,154.0,31.0,NemrutDag,kn-218,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-220,,Nemrut Dağ,67165.0,342474.0,34653.0,9448.0,976.0,489.0,21211.0,196.0,204.0,0.0,,1258.0,64.0,0.0,31.0,NemrutDag,kn-220,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-221,,Nemrut Dağ,69125.0,357736.0,36693.0,3397.0,860.0,476.0,21540.0,190.0,208.0,0.0,,1281.0,66.0,0.0,27.0,NemrutDag,kn-221,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-222,,Nemrut Dağ,69336.0,355562.0,35785.0,3356.0,890.0,490.0,21198.0,200.0,207.0,0.0,,1260.0,63.0,0.0,25.0,NemrutDag,kn-222,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-224,,Nemrut Dağ,70859.0,349574.0,33120.0,3977.0,888.0,508.0,19219.0,173.0,195.0,0.0,,1220.0,62.0,0.0,22.0,NemrutDag,kn-224,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-226,,Nemrut Dağ,70545.0,356113.0,53948.0,3287.0,827.0,524.0,20345.0,179.0,204.0,0.0,,1270.0,66.0,0.0,27.0,NemrutDag,kn-226,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-227,,Nemrut Dağ,76965.0,383359.0,42883.0,3313.0,981.0,488.0,24259.0,214.0,238.0,0.0,,1377.0,72.0,0.0,27.0,NemrutDag,kn-227,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-230,,Nemrut Dağ,66936.0,339349.0,52763.0,3574.0,957.0,463.0,21588.0,183.0,214.0,0.0,,1283.0,68.0,0.0,26.0,NemrutDag,kn-230,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-233,,Nemrut Dağ,63747.0,331815.0,35033.0,3130.0,855.0,556.0,20525.0,191.0,198.0,0.0,,1238.0,64.0,0.0,25.0,NemrutDag,kn-233,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
kn-234,,Nemrut Dağ,66672.0,341818.0,37464.0,3047.0,843.0,487.0,20493.0,180.0,208.0,0.0,,1256.0,67.0,0.0,28.0,NemrutDag,kn-234,geological source,,False,Campbell & Healey 2016,2016,pXRF,1,ppm,True
