Unnamed: 0,Ti,Mn,Fe,Zn,Ga,Rb,Sr,Y,Zr,Nb,Ba,Pb,Th,Source,Unnamed: 15,Unnamed: 16,source,sample_id,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference
KT.087,1337.0,598.0,29320.0,185.0,35.0,241.0,6.0,120.0,1171.0,59.0,,75.0,24.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.088,1333.0,597.0,29048.0,224.0,40.0,239.0,5.0,121.0,1165.0,52.0,,73.0,25.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.093,1357.0,473.0,29804.0,248.0,42.0,309.0,8.0,145.0,1419.0,66.0,,98.0,38.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.096,1452.0,628.0,30718.0,211.0,42.0,249.0,7.0,124.0,1191.0,56.0,,80.0,35.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.098,1482.0,624.0,30267.0,195.0,40.0,243.0,5.0,118.0,1159.0,57.0,,76.0,28.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.100,1403.0,629.0,29219.0,182.0,37.0,243.0,7.0,120.0,1180.0,54.0,,72.0,27.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.103,1169.0,506.0,24364.0,171.0,29.0,230.0,3.0,121.0,1152.0,58.0,,75.0,26.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.105,1161.0,489.0,26995.0,219.0,30.0,284.0,3.0,145.0,1363.0,62.0,,97.0,41.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.107,1236.0,511.0,28580.0,242.0,36.0,296.0,3.0,147.0,1436.0,69.0,,110.0,42.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
KT.110,1397.0,629.0,31199.0,216.0,38.0,248.0,6.0,123.0,1199.0,62.0,,77.0,33.0,Bingöl,A,,BingolA,,Kenan Tepe,,False,Carter et al. 2013 (Kenan Tepe),2013,EDXRF,2,ppm,True
