Source,sample_id,Nb,Zr,Sr,Rb,Fe,source,site,notes,verification_flag,paper,year,method,method_tier,units
Kars-Digor,ea36r3d,16.41897,180.08549999999997,132.925204,106.66071999999998,7987.024893,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor,ea36r3e,17.560095000000004,162.77174999999997,142.35162000000005,108.781648,7898.269433,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor,ea36r4a,17.888739,186.778125,144.42161000000002,109.70955399999998,8088.737004,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor,ea36r4b,15.633876000000004,172.45125,129.390298,110.946762,7913.942247999999,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor,ea36r4d,16.437228,165.27262499999998,135.042963,109.068857,7854.070036999999,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor,ea36r4e,18.016545,184.145625,140.854858,115.144432,8023.734261,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Average,,16.450269428571428,172.19378571428572,137.3540727142857,110.45440371428572,7957.753130642857,Average,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor2,ea37p2,14.538396,113.97937499999998,62.434083,120.888612,6901.156026,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor2,ea37p3,15.916875,113.53387499999998,58.32594900000001,124.158376,6843.691324,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor2,ea37p4,11.936631000000002,115.62975,57.00434,125.59442099999998,6945.307409,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor2,ea37p5b,12.803886000000002,106.84125,55.491655,120.910705,6687.690228,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor2,ea37p7a,13.315110000000002,102.234375,55.31650200000001,122.56767999999998,6890.442268,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor2,ea37p7b,15.040491,106.41599999999998,57.927874,118.944428,6857.704261,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor2,ea37p8,14.529267000000004,117.65475,55.810115,123.80488799999998,6842.120612999999,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kars-Digor2,ea37r1,15.515199,112.197375,60.84178300000001,119.91651999999998,6854.459953999999,KarsDigor,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Average,,14.199481875000002,111.06084375,57.894037625,122.09820375,6852.821510375,Average,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kömürcü,ca19p1,21.53121,64.69087499999999,17.340147,189.465284,5687.552001999999,EGD,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kömürcü,ca19r1,21.549468000000005,63.4455,17.563069,187.278077,5685.082762,EGD,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kömürcü,ca19r2a,21.038244,65.48062499999999,13.232013000000002,188.979238,5721.325718,EGD,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kömürcü,ca19r2b,20.189247,64.88324999999999,15.206465,193.353652,5457.727489,EGD,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kömürcü,ca20p2,21.156921,63.374625,13.821164,188.62575,5730.647099,EGD,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kömürcü,ca20p3,18.947703,62.25075,13.980394,192.447839,5776.965926,EGD,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kömürcü,ca20p4,20.837406,65.45025,13.964471,192.337374,5606.478622,EGD,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kömürcü,ca20r1a,21.321243000000003,71.73787499999999,12.085557,193.773419,5730.214982,EGD,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kömürcü,ca32w1,16.957581,58.9905,13.200167,187.123426,5756.896492,EGD,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kömürcü,ca32w2,19.595862000000004,59.385375,15.095004,194.171093,5777.62439,EGD,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kömürcü,ca32w4,20.116215000000004,62.240625,13.582319,189.376912,5738.013665,EGD,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Kömürcü,ca32w6,20.61831,68.28524999999999,13.232013000000002,188.228076,5718.897631999999,EGD,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Average,,20.32161750000001,64.184625,14.35856525,190.43001166666664,5698.952231583332,Average,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Meydan Daǧ,ea07p2,31.600497,255.21299999999997,20.556593,199.650157,8869.956527,MeydanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Meydan Daǧ,ea07p3,30.623694,261.93600000000004,20.938745,201.992015,8852.054537,MeydanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Meydan Daǧ,ea07p4,30.002922,267.09975,19.043908,201.528062,8742.166497999999,MeydanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Meydan Daǧ,ea07r1,31.408788000000005,271.524375,18.47068,201.638527,8920.870884,MeydanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Meydan Daǧ,ea07r2,32.458623,264.64950000000005,18.343296,199.00946,8916.378238999998,MeydanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Meydan Daǧ,ea07r3,31.810464,268.416,19.314599,202.411782,8811.449257,MeydanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Meydan Daǧ,ea08p1,31.865238,263.07000000000005,18.136297000000003,195.143185,8788.732249,MeydanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Meydan Daǧ,ea08p2,30.194631,264.0015,20.349594,197.175741,8682.013068,MeydanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Meydan Daǧ,ea08r1,32.129979,265.87462500000004,19.537521,201.992015,8937.661715999999,MeydanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Meydan Daǧ,ea09p2,30.696726,266.31,21.973740000000003,196.822253,8770.466731999999,MeydanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Meydan Daǧ,ea09r1,34.284423,275.108625,21.304974,212.243167,9360.224128999998,MeydanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Meydan Daǧ,ea09r2a,29.85685800000001,268.122375,19.171292,203.560618,8942.675645,MeydanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Meydan Daǧ,ea09r2b,31.280982,269.053875,25.651953,208.597822,8778.718109,MeydanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Meydan Daǧ,ea09r2c,33.271103999999994,274.258125,21.989663,207.272242,9100.432645,MeydanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
Meydan Daǧ,ea09r2d,31.20795,259.71862500000003,20.349594,202.500154,8781.118759,MeydanDag,,,False,Frahm & Hauck 2017,2017,mixed (see paper),3,ppm
