sample_id,Ba,Ti,Mn,Fe,Co,Ni,Cu,Zn,Ga,Pb,Th,Rb,Sr,Y,Zr,Nb,Museum ID,Site,"Date of
Analysis",Cortex,Length,Width,Thick,Source,source,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference
JMA14 NM52 ,719,740,579,12267,5,6,9,45,16,22,12,104,123,19,105,7,10361β ,Tsikniadhes ,2014-08-05 00:00:00,10,2.27,0.72,0.58,Dhemenegaki,Dhemenegaki,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM53 ,676,654,611,12670,5,7,8,56,17,26,8,118,121,16,115,10,10361γ ,Tsikniadhes ,2014-08-05 00:00:00,80,1.4,1.87,0.43,Dhemenegaki,Dhemenegaki,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM54 ,692,615,498,10176,5,7,8,51,16,21,12,112,93,21,97,9,10361δ ,Tsikniadhes ,2014-08-05 00:00:00,0,1.69,0.96,0.41,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM55 ,660,582,649,13175,6,6,10,51,18,22,10,112,118,16,111,9,10362,Tsikniadhes ,2014-08-05 00:00:00,0,2.2,1.18,0.31,Dhemenegaki,Dhemenegaki,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM56 ,701,548,459,12042,5,6,8,45,16,26,9,110,120,18,115,9,10363,Tsikniadhes ,2014-08-05 00:00:00,0,2.37,2.51,0.36,Dhemenegaki,Dhemenegaki,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM57 ,801,325,627,9874,4,6,8,33,16,22,8,123,102,20,110,9,10364α ,Tsikniadhes ,2014-08-05 00:00:00,0,2.37,0.94,0.3,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM58 ,622,610,498,8862,4,7,8,51,16,25,10,114,94,19,97,9,10365,Tsikniadhes ,2014-08-05 00:00:00,0,3.06,1.44,0.51,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM59 ,620,618,531,9524,4,6,7,41,16,25,12,112,103,19,107,10,10366α ,Tsikniadhes ,2014-08-05 00:00:00,0,5.1,1.28,0.34,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM60 ,681,485,378,10024,4,6,7,35,15,21,14,119,104,20,107,10,10366β ,Tsikniadhes ,2014-08-05 00:00:00,0,1.42,1.41,0.26,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM61 ,634,556,493,10409,4,6,7,40,15,22,11,120,103,20,112,8,10367α ,Tsikniadhes ,2014-08-05 00:00:00,40,3.01,0.87,0.32,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM62 ,703,438,540,10157,4,6,7,41,15,24,10,123,105,18,101,8,10367β ,Tsikniadhes ,2014-08-05 00:00:00,0,4.54,1.33,0.27,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM63 ,681,444,480,9924,4,6,8,40,16,20,9,124,106,19,112,10,"10367 (α, β, γ) ",Tsikniadhes ,2014-08-05 00:00:00,0,6.11,1.04,0.19,Sta Nychia,Sta Nychia,Tsikniadhes ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM64 ,669,397,490,10695,4,6,7,53,16,23,13,124,109,15,112,9,1934δ ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,4.34,1.49,0.38,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM65 ,685,413,587,10867,4,6,7,44,16,23,9,125,108,23,112,10,1929,Ayioi Anargyroi ,2014-08-05 00:00:00,0,6.84,1.23,0.28,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM66 ,826,389,516,10087,4,6,7,31,16,25,8,123,105,18,102,8,1933δ ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,5.7,0.9,0.19,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM67 ,699,345,515,9568,4,7,6,47,15,24,11,117,92,16,102,8,1933η ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,6.74,0.83,0.2,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM72 ,652,630,412,9402,4,6,7,31,15,23,9,114,104,18,103,9,1932,Ayioi Anargyroi ,2014-08-05 00:00:00,0,6.81,0.8,0.28,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM68 ,847,286,509,13773,4,6,8,40,15,24,12,113,100,18,106,9,1925,Ayioi Anargyroi ,2014-08-05 00:00:00,0,10.29,1.14,0.31,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM69 ,762,453,409,9468,4,6,7,36,16,27,10,110,106,18,110,9,5445,Ayioi Anargyroi ,2014-08-05 00:00:00,0,2.07,0.73,0.21,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM70 ,682,518,536,12391,4,6,7,42,15,23,9,115,121,19,116,10,1934β ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,4.59,1.14,0.32,Dhemenegaki,Dhemenegaki,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM71 ,790,313,623,11336,5,7,8,48,15,23,12,126,112,18,113,7,1930,Ayioi Anargyroi ,2014-08-05 00:00:00,0,9.15,1.18,0.28,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM73 ,697,399,485,10170,4,6,7,47,16,24,12,119,101,16,111,10,1926,Ayioi Anargyroi ,2014-08-05 00:00:00,0,10.57,1,0.23,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM74 ,684,440,572,10100,4,6,7,37,15,21,10,123,108,16,105,9,1927,Ayioi Anargyroi ,2014-08-05 00:00:00,0,9.28,0.88,0.27,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM75 ,610,610,520,9503,4,6,7,41,16,25,14,121,100,15,109,8,1928,Ayioi Anargyroi ,2014-08-05 00:00:00,0,9.96,1.35,0.29,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM76 ,711,473,479,10349,4,6,8,44,16,25,13,121,106,17,112,9,1931,Ayioi Anargyroi ,2014-08-05 00:00:00,0,7.86,1.3,0.22,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM77 ,601,492,420,9847,5,6,8,39,15,24,13,112,107,19,102,8,1933ε ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,5.74,1.01,0.3,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM78 ,702,398,469,9785,4,7,7,56,16,22,10,108,101,18,102,8,1933στ ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,5.74,0.76,0.26,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM79 ,729,385,435,10733,4,6,8,36,16,22,11,120,108,16,105,8,1933ζ ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,7.6,0.84,0.22,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM80 ,867,172,562,9786,4,6,6,38,15,24,10,108,98,20,107,9,1933θ ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,7.77,0.82,0.26,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM81 ,695,418,434,9429,4,6,7,28,14,23,11,114,106,17,101,9,1934α ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,7.26,1.31,0.25,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM82 ,738,412,445,9651,4,6,8,42,16,22,10,114,95,20,107,9,1934ε ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,4.84,1.5,0.28,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM83 ,615,551,452,10012,4,6,8,40,16,26,12,121,104,16,107,9,1934στ ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,5.2,1.39,0.34,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
JMA14 NM84 ,767,388,294,11010,4,6,8,41,16,25,11,121,104,18,105,10,1933α ,Ayioi Anargyroi ,2014-08-05 00:00:00,0,4.55,0.72,0.23,Sta Nychia,Sta Nychia,Ayioi Anargyroi ,,True,Morgan 2015,2015,pXRF,1,ppm,True
