source,method_tier,tier_label,n_samples,papers,Rb_n,Rb_mean,Rb_sd,Rb_min,Rb_max,Sr_n,Sr_mean,Sr_sd,Sr_min,Sr_max,Zr_n,Zr_mean,Zr_sd,Zr_min,Zr_max,Nb_n,Nb_mean,Nb_sd,Nb_min,Nb_max,Y_n,Y_mean,Y_sd,Y_min,Y_max,Fe_n,Fe_mean,Fe_sd,Fe_min,Fe_max,Mn_n,Mn_mean,Mn_sd,Mn_min,Mn_max,Zn_n,Zn_mean,Zn_sd,Zn_min,Zn_max,Ti_n,Ti_mean,Ti_sd,Ti_min,Ti_max,Ba_n,Ba_mean,Ba_sd,Ba_min,Ba_max,Th_n,Th_mean,Th_sd,Th_min,Th_max,Pb_n,Pb_mean,Pb_sd,Pb_min,Pb_max,Ga_n,Ga_mean,Ga_sd,Ga_min,Ga_max,La_n,La_mean,La_sd,La_min,La_max,Ce_n,Ce_mean,Ce_sd,Ce_min,Ce_max,Sm_n,Sm_mean,Sm_sd,Sm_min,Sm_max,Eu_n,Eu_mean,Eu_sd,Eu_min,Eu_max,Yb_n,Yb_mean,Yb_sd,Yb_min,Yb_max,Lu_n,Lu_mean,Lu_sd,Lu_min,Lu_max
Giali,0,ALL (combined),2,Milic 2014; Morgan 2015,2,123.5,3.54,121.0,126.0,2,60.0,4.24,57.0,63.0,2,91.25,6.01,87.0,95.5,1,13.0,,13.0,13.0,1,16.0,,16.0,16.0,1,9110.0,,9110.0,9110.0,1,452.0,,452.0,452.0,1,55.0,,55.0,55.0,1,636.0,,636.0,636.0,1,475.0,,475.0,475.0,1,14.0,,14.0,14.0,1,25.0,,25.0,25.0,1,16.0,,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giali,1,pXRF/EDXRF,2,Milic 2014; Morgan 2015,2,123.5,3.54,121.0,126.0,2,60.0,4.24,57.0,63.0,2,91.25,6.01,87.0,95.5,1,13.0,,13.0,13.0,1,16.0,,16.0,16.0,1,9110.0,,9110.0,9110.0,1,452.0,,452.0,452.0,1,55.0,,55.0,55.0,1,636.0,,636.0,636.0,1,475.0,,475.0,475.0,1,14.0,,14.0,14.0,1,25.0,,25.0,25.0,1,16.0,,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GolluDag,0,ALL (combined),46,Frahm & Hauck 2017; Milic 2014; Morgan 2015; Schechter et al. 2016; Yellin & Perlman 1980,45,179.99,29.46,126.0,227.0,45,34.5,29.05,7.48,92.54,45,91.65,19.89,59.02,126.0,44,21.13,4.99,13.28,33.0,25,24.32,2.5,20.0,28.0,44,6751.61,898.13,5127.0,7750.0,25,495.32,100.89,284.0,633.0,25,31.12,7.67,18.0,46.0,1,456.0,,456.0,456.0,1,344.0,,344.0,344.0,25,20.4,4.09,14.0,27.0,1,32.0,,32.0,32.0,25,23.84,4.93,13.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GolluDag,1,pXRF/EDXRF,26,Milic 2014; Morgan 2015; Schechter et al. 2016,26,183.77,33.18,126.0,227.0,26,18.5,9.82,10.0,39.0,26,95.98,14.0,72.5,126.0,25,23.84,4.8,16.0,33.0,25,24.32,2.5,20.0,28.0,25,6931.48,900.11,5127.0,7750.0,25,495.32,100.89,284.0,633.0,25,31.12,7.67,18.0,46.0,1,456.0,,456.0,456.0,1,344.0,,344.0,344.0,25,20.4,4.09,14.0,27.0,1,32.0,,32.0,32.0,25,23.84,4.93,13.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GolluDag,3,XRF (lab),19,Frahm & Hauck 2017,19,174.83,23.3,137.66,213.19,19,56.39,32.46,7.48,92.54,19,85.73,25.11,59.02,119.7,19,17.55,2.25,13.28,21.76,0,,,,,19,6514.94,861.76,5445.09,7592.65,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GolluDag,4,NAA (REE),1,Yellin & Perlman 1980,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
Group3d,0,ALL (combined),279,Campbell & Healey 2016,279,461.6,19.79,423.0,571.91,279,11.58,1.1,9.0,15.69,279,204.0,7.54,188.0,245.4,279,28.57,1.83,23.0,36.58,12,65.94,4.37,61.0,75.0,279,12517.33,618.41,11132.0,16283.26,279,449.57,63.94,272.0,704.0,279,107.45,7.23,88.0,137.86,279,487.69,36.02,423.0,750.1,279,40.79,58.31,0.0,193.0,0,,,,,279,66.12,4.52,52.0,83.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group3d,1,pXRF/EDXRF,279,Campbell & Healey 2016,279,461.6,19.79,423.0,571.91,279,11.58,1.1,9.0,15.69,279,204.0,7.54,188.0,245.4,279,28.57,1.83,23.0,36.58,12,65.94,4.37,61.0,75.0,279,12517.33,618.41,11132.0,16283.26,279,449.57,63.94,272.0,704.0,279,107.45,7.23,88.0,137.86,279,487.69,36.02,423.0,750.1,279,40.79,58.31,0.0,193.0,0,,,,,279,66.12,4.52,52.0,83.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTMD,0,ALL (combined),1,Yellin et al. 1996,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTMD,4,NAA (REE),1,Yellin et al. 1996,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1.0,129.6,,129.6,129.6,1.0,95.8,,95.8,95.8,1.0,24.1,,24.1,24.1,1.0,8.12,,8.12,8.12,1.0,19.3,,19.3,19.3,1.0,18.6,,18.6,18.6
