Rb,Sr,Zr,Nb,Y,Ti,Ba,Th,La,Ce,source,sample_id,site,notes,verification_flag,paper,year,method,method_tier,units,is_source_reference,Fe,Mn,Zn,Pb,Sm,Eu,Yb,Lu,Ga,ref_quality,heavy5_cover
203.0,0.0,1255.0,66.0,,871.0,0.0,,,,NemrutDag,kn-081,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20881.0,538.0,176.0,26.0,,,,,,strong,4
210.0,0.0,1276.0,66.0,,860.0,0.0,,,,NemrutDag,kn-082,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21468.0,488.0,185.0,26.0,,,,,,strong,4
202.0,0.0,1255.0,62.0,,883.0,0.0,,,,NemrutDag,kn-086,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20558.0,560.0,178.0,30.0,,,,,,strong,4
208.0,0.0,1254.0,65.0,,857.0,0.0,,,,NemrutDag,kn-087,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21235.0,574.0,191.0,28.0,,,,,,strong,4
203.0,0.0,1262.0,66.0,,853.0,0.0,,,,NemrutDag,kn-089,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20576.0,479.0,191.0,27.0,,,,,,strong,4
205.0,0.0,1231.0,63.0,,835.0,102.0,,,,NemrutDag,kn-094,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20210.0,608.0,192.0,28.0,,,,,,strong,4
211.0,0.0,1259.0,64.0,,848.0,0.0,,,,NemrutDag,kn-095,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21184.0,551.0,192.0,30.0,,,,,,strong,4
199.0,0.0,1234.0,63.0,,871.0,115.0,,,,NemrutDag,kn-102,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20326.0,521.0,199.0,29.0,,,,,,strong,4
204.0,0.0,1272.0,66.0,,881.0,106.0,,,,NemrutDag,kn-104,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21056.0,664.0,186.0,35.0,,,,,,strong,4
265.0,0.0,1401.0,70.0,,1003.0,0.0,,,,NemrutDag,kn-111,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,25825.0,460.0,228.0,41.0,,,,,,strong,4
207.0,0.0,1264.0,64.0,,823.0,0.0,,,,NemrutDag,kn-114,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20196.0,531.0,174.0,30.0,,,,,,strong,4
195.0,0.0,1203.0,64.0,,832.0,0.0,,,,NemrutDag,kn-115,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,19260.0,522.0,172.0,23.0,,,,,,strong,4
214.0,0.0,1311.0,65.0,,912.0,0.0,,,,NemrutDag,kn-116,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,22084.0,508.0,202.0,32.0,,,,,,strong,4
224.0,0.0,1347.0,68.0,,931.0,0.0,,,,NemrutDag,kn-121,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,22994.0,584.0,199.0,32.0,,,,,,strong,4
224.0,0.0,1338.0,66.0,,992.0,0.0,,,,NemrutDag,kn-122,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,24026.0,502.0,229.0,30.0,,,,,,strong,4
208.0,0.0,1251.0,64.0,,872.0,0.0,,,,NemrutDag,kn-127,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20728.0,481.0,178.0,28.0,,,,,,strong,4
206.0,0.0,1278.0,65.0,,875.0,0.0,,,,NemrutDag,kn-128,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21245.0,488.0,176.0,29.0,,,,,,strong,4
216.0,0.0,1316.0,69.0,,892.0,0.0,,,,NemrutDag,kn-129,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,22133.0,460.0,197.0,26.0,,,,,,strong,4
228.0,0.0,1336.0,69.0,,969.0,0.0,,,,NemrutDag,kn-130,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,23258.0,471.0,204.0,27.0,,,,,,strong,4
214.0,0.0,1311.0,67.0,,869.0,0.0,,,,NemrutDag,kn-135,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,22255.0,538.0,191.0,31.0,,,,,,strong,4
205.0,0.0,1260.0,67.0,,890.0,73.0,,,,NemrutDag,kn-140,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20875.0,591.0,198.0,26.0,,,,,,strong,4
201.0,0.0,1244.0,63.0,,810.0,0.0,,,,NemrutDag,kn-147,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,20178.0,587.0,195.0,29.0,,,,,,strong,4
211.0,0.0,1282.0,66.0,,857.0,0.0,,,,NemrutDag,kn-151,geological source,,True,Campbell & Healey 2016,2016.0,pXRF,1.0,ppm,True,21325.0,475.0,192.0,29.0,,,,,,strong,4
